"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2003-1-17","sistemaGuarapiranga","38,4 %","12,2 mm","85,4 mm","225,2 mm"
"2003-1-17","sistemaCotia","35,2 %","25,5 mm","106,0 mm","224,8 mm"
"2003-1-17","sistemaRioGrande","96,0 %","4,9 mm","92,6 mm","234,4 mm"
"2003-1-17","sistemaRioClaro","65,4 %","2,7 mm","103,8 mm","287,8 mm"
"2003-1-18","sistemaCantareira","44,6 %","42,6 mm","215,8 mm","253,0 mm"
"2003-1-18","sistemaAltoTiete","40,2 %","12,6 mm","114,7 mm","245,4 mm"
"2003-1-18","sistemaGuarapiranga","38,3 %","0,0 mm","85,4 mm","225,2 mm"
"2003-1-18","sistemaCotia","35,2 %","0,0 mm","106,0 mm","224,8 mm"
"2003-1-18","sistemaRioGrande","95,8 %","0,0 mm","92,6 mm","234,4 mm"
"2003-1-18","sistemaRioClaro","65,4 %","0,1 mm","103,9 mm","287,8 mm"
"2003-1-19","sistemaCantareira","45,3 %","6,4 mm","222,3 mm","253,0 mm"
"2003-1-19","sistemaAltoTiete","40,4 %","7,0 mm","121,8 mm","245,4 mm"
"2003-1-19","sistemaGuarapiranga","38,4 %","11,8 mm","97,2 mm","225,2 mm"
"2003-1-19","sistemaCotia","35,5 %","21,7 mm","127,7 mm","224,8 mm"
"2003-1-19","sistemaRioGrande","95,7 %","2,8 mm","95,4 mm","234,4 mm"
"2003-1-19","sistemaRioClaro","65,0 %","0,3 mm","104,2 mm","287,8 mm"
"2003-1-20","sistemaCantareira","46,1 %","30,0 mm","252,2 mm","253,0 mm"
"2003-1-20","sistemaAltoTiete","40,4 %","0,0 mm","121,8 mm","245,4 mm"
"2003-1-20","sistemaGuarapiranga","38,4 %","0,0 mm","97,2 mm","225,2 mm"
"2003-1-20","sistemaCotia","35,5 %","0,0 mm","127,7 mm","224,8 mm"
"2003-1-20","sistemaRioGrande","95,5 %","0,0 mm","95,4 mm","234,4 mm"
"2003-1-20","sistemaRioClaro","64,7 %","0,1 mm","104,3 mm","287,8 mm"
"2003-1-21","sistemaCantareira","46,7 %","0,0 mm","252,2 mm","253,0 mm"
"2003-1-21","sistemaAltoTiete","40,3 %","0,0 mm","121,8 mm","245,4 mm"
"2003-1-21","sistemaGuarapiranga","38,4 %","0,0 mm","97,2 mm","225,2 mm"
"2003-1-21","sistemaCotia","35,4 %","0,0 mm","127,7 mm","224,8 mm"
